Epoch 99/300: Train Loss: 0.0032, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9790
Epoch 100/300: Train Loss: 0.0032, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
Epoch 101/300: Train Loss: 0.0031, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
Epoch 102/300: Train Loss: 0.0031, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9790
Epoch 103/300: Train Loss: 0.0028, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
Epoch 104/300: Train Loss: 0.0031, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9790
Epoch 105/300: Train Loss: 0.0032, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9790
Epoch 106/300: Train Loss: 0.0028, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9790
Epoch 107/300: Train Loss: 0.0030, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9790
Epoch 108/300: Train Loss: 0.0029, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9790
Epoch 109/300: Train Loss: 0.0027, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
Epoch 110/300: Train Loss: 0.0027, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9790
Epoch 111/300: Train Loss: 0.0028, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9790
Epoch 112/300: Train Loss: 0.0030, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9790
Epoch 113/300: Train Loss: 0.0029, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9790
Epoch 114/300: Train Loss: 0.0032, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9790
Epoch 115/300: Train Loss: 0.0029, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9790
Epoch 116/300: Train Loss: 0.0026, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9790
Epoch 117/300: Train Loss: 0.0028, Train Acc: 1.0000, Test Acc: 0.9412, Best Test Acc: 0.9790
Epoch 118/300: Train Loss: 0.0027, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9790
Epoch 119/300: Train Loss: 0.0029, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
